"1","IIT MADRAS","Chennai","Tamil Nadu"
"2","IIIT-D","Chennai","Tamil Nadu"
"3","IIT BOMBAY","Mumbai","Maharashtra"
"4","IIT Guwahati","Guwahati","Assam"
"5","SRM University","Coimbatore","Tamil Nadu"
"6","College of Engineering Guindy","Chennai","Tamil Nadu"
"7","Shaastra","Coimbatore","Tamil Nadu"
"8","University of Delhi","Delhi","NCT/Delhi"
"9","IOU","Delhi","NCT/Delhi"
"10","Easwari Engineering College","Chennai","Tamil Nadu"
"11","Amrita School Of Engineering","Coimbatore","Tamil Nadu"
"12","M.N.M Jain Engineering College","Chennai","Tamil Nadu"
"13","Vel Tech High Tech Dr.Rangarajan Dr.Sakunthala Engineering College","Chennai","Tamil Nadu"
"14","Sathyabama University","Chennai","Tamil Nadu"
"15","methodist college of engineering and technology","hyderabad","Andhra Pradesh"
"16","National Engineering College","Kovilpatti","Tamil Nadu"
"17","SONA COLLEGE OF TECHNOLOGY","SALEM","Tamil Nadu"
"18","GMRIT","Rajam","Andhra Pradesh"
"19","Dr.Mahalingam college of engineering and technology","Coimbatore","Tamil Nadu"
"20","psg tech","coimbatore","Tamil Nadu"
"21","BANNARI AMMAN INSTITUTE OF TECHNOLOGY","SATHYAMANGALAM","Tamil Nadu"
"22","CUCEK,kuttanadu","alappuzha","Kerala"
"23","Panimalar engineering college","chennai","Tamil Nadu"
"24","IIMET","JAIPUR","Rajasthan"
"25","knowledge institute of technology","salem","Tamil Nadu"
"26","kongu engineering college","erode","Tamil Nadu"
"27","Thanthai Periyar Government Institute of Technology","Vellore","Tamil Nadu"
"28","gult college","entra","Andhra Pradesh"
"29","R.M.K.Engineering College","Tiruvallur","Tamil Nadu"
"30","mookambigai college of engineering","pudukottai","Tamil Nadu"
"31","saveetha school of engineering","chennai","Tamil Nadu"
"32","RMK Engineering College ","Tiruvallur","Tamil Nadu"
"33","Ponjesly College Of Engineering","Nagercoil","Tamil Nadu"
"34","Sri Krishna College of Engineering and Technology","Coimbatore","Tamil Nadu"
"35","bits pilani","hyderabad","Andhra Pradesh"
"36","sree nidhi institute of science and technology","hyderabad","Andhra Pradesh"
"480","fornication under consent of king","brothel","Outside India"
"38"," Loyola-ICAM College of Engineering & Technology","chennai","Tamil Nadu"
"39","Prince Shri Venkateswara Padmavathy Engineering College","Chennai","Tamil Nadu"
"40","Kumaraguru College of Technology","Coimbatore","Tamil Nadu"
"41","Velammal Engineering College","Chennai","Tamil Nadu"
"42","velammal college of engineering and technology","Madurai","Tamil Nadu"
"43","S.A Engineering College","Chennai","Tamil Nadu"
"44","Tagore Engineering College","Vandalur","Tamil Nadu"
"45","Aalim Muhammed Salegh College of Engineering","chennai,avadi(muthapudupet)","Tamil Nadu"
"46","Sri Manakula Vinayagar Engineering College","Madagadipet","Puducherry"
"47","nit kurukshetra","kurukshetra","Haryana"
"48","Karunya Univesity","Coimbatore","Tamil Nadu"
"49","Krishna Institute of Engineering and Technology","Ghaziabad","Uttar Pradesh"
"50","Jansons Institute of Technology","Coimbatore","Tamil Nadu"
"51","r v college ","bangalore ","Karnataka"
"52","University Institute of Technology RGPV","Bhopal","Madhya Pradesh"
"53","Indian School of Mines","Dhanbad","Jharkhand"
"54","Pondicherry University","Pondicherry University","Puducherry"
"55","kakinada institute of engineering & technology","kakinada","Andhra Pradesh"
"56","NIT Calicut","Calicut","Kerala"
"57","Maharaj Vijayaram Gajapathiraj (MVGR) College of Engineerng","Vizianagaram","Andhra Pradesh"
"58","D.A.V.Public School","Chennai","Tamil Nadu"
"59","ADHIYAMAAN COLLEGE OF ENGG ","HOSUR","Tamil Nadu"
"60","K.L.E Society's Dr. M.S Sheshgiri College of Engineering & Technology","Belgaum","Karnataka"
"61","vasireddy venkatadri institute of technology","Guntur","Andhra Pradesh"
"62","KLUniversity","vaddeswaram","Andhra Pradesh"
"63","SASTRA UNIVERSITY","THANJAVUR","Tamil Nadu"
"64","Mahaveer Institute of Science and Technology","Hyderabad","Andhra Pradesh"
"65","BAPATLA ENGINEERING COLLEGE","BAPATLA","Andhra Pradesh"
"478","coitus education","brothel","Outside India"
"67","coimbatore institute of technology","coimbatore","Tamil Nadu"
"68","C V Raman College Of Engineering,Bhubaneswar","Bhubaneswar","Orissa"
"69","SCAD COLLEGE OF ENGINEERING AND TECHNOLOGY","TIRUNELVELI","Tamil Nadu"
"70","aditya degree college","kakinada","Andhra Pradesh"
"71","Anil neerukonda institute of science and technology","vizag","Andhra Pradesh"
"72","rajalakshmi engineering college","chennai","Tamil Nadu"
"73","v s b engineering college","karur","Tamil Nadu"
"74","Anna University - MIT Campus","Chennai","Tamil Nadu"
"75","Government College of Engineering .","Tirunelveli","Tamil Nadu"
"76","Bharath University","chennai","Tamil Nadu"
"77","NIT-Trichy","Trichy","Tamil Nadu"
"78","National College Of Engineering","Maruthakulam,Tirunelveli.","Tamil Nadu"
"79","Sri Venkatesa Perumal College of Engineering & Technology","puttur","Andhra Pradesh"
"80","S N S College Of Technology","Coimbatore","Tamil Nadu"
"81","GITAM University","Visakhapatnam","Andhra Pradesh"
"82","park college of technology","coimbatore","Tamil Nadu"
"83","Nehru Institute of Engineering and Tecgnology","Coimbatore","Tamil Nadu"
"84","MUTHAYAMMAL ENGINEERING COLLEGE","Rasipuram,Namakkal-637408","Tamil Nadu"
"85","IIT KHARAGPUR","Kharagpur","West Bengal"
"86","KGRCET","HYDERABAD","Andhra Pradesh"
"87","K G REDDY COLLEGE OF ENGINEERING AND TECHNOLOGY","MOINABAD","Andhra Pradesh"
"88","Adhiparasakthi Engginering College","Melmaruvathur","Tamil Nadu"
"89","ssmiet","dindigul","Tamil Nadu"
"90","Goa College of Engineering","Farmagudi","Goa"
"91","K.S.Rangasamy College of Technology","Thiruchengode","Tamil Nadu"
"92","Gayatri Vidya Parishad College Of Engineering","Visakhapatnam","Andhra Pradesh"
"93","K.C.G College of Technology","chennai","Tamil Nadu"
"94","Alpha College Of Engineering","Chennai","Tamil Nadu"
"95","sri shakthi institute of engineering and technology","coimbatore","Tamil Nadu"
"96","mar  athanasius college of engineering,kothamangalam","kothamangalam","Kerala"
"97","hcst","mathura","Uttar Pradesh"
"98","klescet","belgaum","Karnataka"
"99","ANNAMALAI UNIVERSITY","ANNAMALAI NAGAR, CHIDAMBRAM","Tamil Nadu"
"100","Maharaja Engineering College","Avinashi","Tamil Nadu"
"101","M.M. ENGINEERING COLLEGE","MULLANA-AMBALA","Haryana"
"102","Trident Academy of Technology","Bhubaneswar","Orissa"
"103","kAKAKTIYA INSTITUTE OF TECHNOLOGY AND SCIENCES","Warangal","Andhra Pradesh"
"104","CSI College of Engineering","Ootacamund","Tamil Nadu"
"105","ALAGAPPA CHETTIAR COLLEGE OF ENGINEERING & TECHNOLOGY","KARAIKUDI","Tamil Nadu"
"106","ABES ENGINEERING COLLEGE","GHAZIABAD","Uttar Pradesh"
"107","vaagdevi institute of technology and sciences","proddatur","Andhra Pradesh"
"108","St.Joseph's College of Engineering","chennai","Tamil Nadu"
"109","KLN college of Engineering","sivagangai","Tamil Nadu"
"110","Annamacharya Institue Of Technology & Sciences","Razampeta, Kadapa(Dist)","Andhra Pradesh"
"111","SSN College of Engineering","Kalavakkam","Tamil Nadu"
"112","SIKKIM MANIPAL UNIVERSITY","TADONG","Sikkim"
"113","KKR & KSR INSTITUTE OF TECHNOLOGY & SCIENCES ","GUNTUR","Andhra Pradesh"
"114","Chaitanya Bharathi Institute of Technology","Hyderabad","Andhra Pradesh"
"115","IIITDM Kanchipuram","Chennai","Tamil Nadu"
"116","andhra university","visakhapatnam","Andhra Pradesh"
"117","Prince.Dr.K.Vasudevan College of engineering and technology","Chennai","Tamil Nadu"
"118","HINDUSTHAN COLLEGE OF ENGINEERING & TECHNOLOGY.","COIMBATORE","Tamil Nadu"
"119","Apex Institute of Technology and Management","Bhubaneswar","Orissa"
"120","Sasurie Academy of Engineering","Coimbatore","Tamil Nadu"
"121","scsvmv university","kanchipuram","Tamil Nadu"
"122","Parisutham Institute of Technology and Science","Thanjavur","Tamil Nadu"
"123","KPR institute of engineering and technology","coimbatore","Tamil Nadu"
"124","P.A.COLLEGE OF ENGINEERING AND TECHNOLOGY","POLLACHI","Tamil Nadu"
"125","Vaishnavi institute of technology","tirupati","Andhra Pradesh"
"126","Grandhi Varalakshmi venkatarao Institute of Technology","Tundurru Bhimavaram","Andhra Pradesh"
"127","Vidya Jyothi Institute of Technology","Hyderabad","Andhra Pradesh"
"128","KLS Gogte Institute of Technology","Belgaum","Karnataka"
"129","panimalar engineering collage","chennai","Tamil Nadu"
"130","TamilNadu College of Engineering","Coimbatore","Tamil Nadu"
"131","College of Engineering, Kidangoor","Kidangoor","Kerala"
"132","Sam College of Engineering and Technology","Bhopal","Madhya Pradesh"
"133","BNM Institute of Technology","Bangalore","Karnataka"
"134","YOGANANDA INSTITUTE OF TECHNOLOGY AND SCIENCE","TIRUPATI","Andhra Pradesh"
"135","Vellore institute of technology","vellore","Tamil Nadu"
"136","M.A.R COLLEGE OF ENGG & TECHNOLOGY","PUDUKKOTTAI","Tamil Nadu"
"137","RVR & JC Collage of engineering","Guntur","Andhra Pradesh"
"138","swarnandra college","narsarur","Andhra Pradesh"
"139","SIR M VISVESVARAYA INSTITUTE OF TECHNOLOGY","BANGALORE","Karnataka"
"140","SIR M.VISVESARYA INSTITUTE OF TECHNOLOGY","BANGALORE","Karnataka"
"141","Indian Institute of Technology","Madras","Tamil Nadu"
"142","GSKSJTI","Bangalore","Karnataka"
"143","P.S.R.Engineering College","Sivakasi","Tamil Nadu"
"144","Vellore Institute of Technology ","Chennai","Tamil Nadu"
"145","C.Abdul Hakeem College of Engineering and Technology","Vellore","Tamil Nadu"
"146","PESIT","Banglore","Karnataka"
"147","IFHE University","Hyderabad","Andhra Pradesh"
"148","Sinhgad College of Engineering","Pune","Maharashtra"
"149","kv hvf ","chennai","Tamil Nadu"
"150","pondicherry engineering college","pondicherry","Puducherry"
"151","Sri Krishna College of Technology","Coimbatore","Tamil Nadu"
"152","swamy vivekananda engineering college","bobbili","Andhra Pradesh"
"153","G. NARAYANAMMA INSTITUTE OF TECHNOLOGY AND SCIENCE","HYDERABAD","Andhra Pradesh"
"154","ucev","villupuram","Tamil Nadu"
"155","Kingston Engineering College","Vellore","Tamil Nadu"
"156","chirala engineering college","chirala","Andhra Pradesh"
"157","sri manakula vinayagar institute of technology","puducherry","Puducherry"
"158","thiagarajar college of engineering","madurai","Tamil Nadu"
"159","velammal institute of technology","chennai","Tamil Nadu"
"160","Mepco Schlenk Engineering College","viruthunagar","Tamil Nadu"
"161","NMIMS's MPSTME COLLEGE,MUMBAI CAMPUS","MUMBAI","Maharashtra"
"162","university of petroleum and energy studies","dheradun","Uttarakhand"
"163","sree venkateswara college of enigineering","nellore","Andhra Pradesh"
"164","Matrusri Engineering College","Hyderabad","Andhra Pradesh"
"165","Sri Ramanujar Engineering College","Chennai","Tamil Nadu"
"166","Jeppiar","chennai","Tamil Nadu"
"167","IIT,Madras","chennai","Tamil Nadu"
"168","Sir Ramanujar Engineering College","Tambaram,chennai","Tamil Nadu"
"169","P.B.college of engineering","chennai","Tamil Nadu"
"170","Lakshmi school","madurai","Tamil Nadu"
"171","madras flying club","chennai","Tamil Nadu"
"172","Tagore College of Arts and Science","Chennai","Tamil Nadu"
"173","Dr.Samuel George Institute of Eng & Tech","Markapur","Andhra Pradesh"
"174","shivani engineering college","trichy","Tamil Nadu"
"175","stanns college of engineering and technology","chirala","Andhra Pradesh"
"176","B.M.S. College of Engineering","Bangalore","Karnataka"
"177","abc","abc","Bihar"
"178","Chandigarh Engineering College","Landran, Mohali","Punjab"
"179","Sri Sairam Institute of Technologu","Chennai","Tamil Nadu"
"180","Jawaharlal Nehru Technological University","Kakinada","Andhra Pradesh"
"181","thapar university","patiala","Punjab"
"182","jairam college","salem","Tamil Nadu"
"183","SRM UNIVERSITY, Ramapuram","Chennai","Tamil Nadu"
"184","sastra ","thanjavur","Tamil Nadu"
"185","Colgate University","Hamilton","Outside India"
"186","KIIT University","Bhubaneswar","Orissa"
"187","Indian Institute of Technology Mandi","Mandi","Himachal Pradesh"
"188","national institute of technology","agartala","Tripura"
"189","IILM","Greater noida","Uttar Pradesh"
"190","godavari institute of engineering and technology","rajahmundry","Andhra Pradesh"
"191","G M Institute Of Technology","Davangere","Karnataka"
"192","kongunadu college of engineering and technology","trichy","Tamil Nadu"
"193","RVRIET","HYDERABAD","Andhra Pradesh"
"194","BIRBHUM INSTITUTE OF ENGINEERING & TECHNOLOGY","SURI","West Bengal"
"195","sri sairam engineering college,","chennai","Tamil Nadu"
"196","ISM dhanbad","dhanbad","Jharkhand"
"197","A.C.COLLEGE OF ENGG& TECH","KARAIKUDI","Tamil Nadu"
"198","Nirma University","ahmedabad","Gujarat"
"199","NIT Bhopal","Bhopal","Madhya Pradesh"
"200","BITS Pilani Main","Pilani","Rajasthan"
"201","Panimalar Institute Of Technology","Chennai","Tamil Nadu"
"202","Bharat Institute of Engineering and Technology","Hyderabad","Andhra Pradesh"
"203","Sri venkateshwara college of engineering","Chennai","Tamil Nadu"
"204","HINDUSTAN UNIVERSITY","CHENNAI","Tamil Nadu"
"205","Kapv government medical college","Tiruchirapalli","Tamil Nadu"
"206","B.S. ABDUR RAHAMAN UNIVERSITY","KANCHEEPURAM","Tamil Nadu"
"207","SRI VASAVI ENGINEERING COLLEGE","TADEPALLIGUDEM","Andhra Pradesh"
"208","st. peter's university","chennai","Tamil Nadu"
"209","Government College of Engineering & Leather Technology","Kolkata","West Bengal"
"210","K.L.N.COLLEGE OF ENGINEERING","MADURAI","Tamil Nadu"
"211","MANIPAL INSTITUTE OF TECHNOLOGY","MANIPAL","Karnataka"
"212","R.M.K.College of Engineering and Technology","Chennai","Tamil Nadu"
"213","St.Joseph's College of Engineering snd Technology, Palai","Kottayam","Kerala"
"214","Smt Kashibai Navale Collage of Commerce, Sinhgad Institute","Pune","Maharashtra"
"215","SREYAS INSTITUTE OF TECHNOLOGY","HYDERABAD","Andhra Pradesh"
"216","ITER","Bhubaneswar","Orissa"
"217","SBOA school and Junior College","Chennai","Tamil Nadu"
"218","M.Kumarasamy college of engineering","karur","Tamil Nadu"
"219","S.R.M UNIVERSITY,VADAPALANI CAMPUS","CHENNAI","Tamil Nadu"
"220","JNTUA college of engineering","Pulivendula","Andhra Pradesh"
"221","indian institute of information technology design and manufaturing ,ka","chennai","Tamil Nadu"
"222","RMK College of Engineering and Technology","chennai","Tamil Nadu"
"223","Amrita School of Engineering,Amritapuri","Kollam","Kerala"
"224","nimra institute of science and technology","vijayawada","Andhra Pradesh"
"225","GANDHI INSTITUTE OF ENGINEERING AND TECHNOLOGY ","GUNUPUR","Orissa"
"226","st.vincent pallotti college of engg. and technology,nagpur","nagpur","Maharashtra"
"228","INSTITUTE OF ROAD AND TRANSPORT TECHNOLOGY","ERODE","Tamil Nadu"
"229","Hindustan Institute of Engineering Technology","Chennai","Tamil Nadu"
"230","Hindustan Institute of Engineering Technology","Chennai","Tamil Nadu"
"231","ADITYA INSTITUTE OF TECHNOLOGY AND MANAGEMENT","TEKKALI","Andhra Pradesh"
"232","National Institute of Science and Technology","berhampur","Orissa"
"233","Srinivasan Engineering College","Perambalur","Tamil Nadu"
"234","University College Of Engineering, Villupuram","Villupuram","Tamil Nadu"
"235","Meenakshi Sundararajan Engineering College","Chennai","Tamil Nadu"
"236","G Narayanamma Institute Of Technology & Science","Hyderabad","Andhra Pradesh"
"237","Harish ","Chennai","Tamil Nadu"
"238","SRM UNIVERSITY,KATTANKULATHUR","CHENNAI","Tamil Nadu"
"239","Pandiyan Saraswathi Yadav Engineering College","Arasanoor","Tamil Nadu"
"240","Minamata","Japan Road","Jammu And Kashmir"
"241","BIET","Davangere","Karnataka"
"242","srkr engineering college","china amiram","Andhra Pradesh"
"243","modern education society's college of engineering","pune","Maharashtra"
"244","SADAR PATEL COLLEGE OF ENGINEERING, MUMBAI","MUMBAI","Maharashtra"
"245","NEW PRINCE COLLEGE OF ENGG N TECH","CHENNAI","Tamil Nadu"
"246","IIT Hyderabad","Hyderabad","Andhra Pradesh"
"247","SKR ENGINEERING COLLEGE","Chennai","Tamil Nadu"
"248","COCHIN UNIVERSITY COLLEGE OF ENGINEERING KUTTANAD","ALLAPUZHA","Kerala"
"249","Arunai College of Engineering","Tiruvannamalai","Tamil Nadu"
"250","College of Engineering and Management,Kolaghat","Kolaghat","West Bengal"
"251","sree sastha institute of engineering and technolgy","chennai","Tamil Nadu"
"252","IIM INDORE","INDORE","Madhya Pradesh"
"253","PSNA COLLEGE OF ENGINEERING AND TECHNOLOGY","DINDIGUL","Tamil Nadu"
"254","KARPAGAM COLLEGE OF ENGINEERING","COIMBATORE","Tamil Nadu"
"255","Gokaraju rangaraju institute of technology","Hyderabad","Andhra Pradesh"
"256","kalaignar karunanidhi institute of techology","coimbatore","Tamil Nadu"
"257","NEW HORIZON COLLEGE OF ENGINEERING","BANGALORE","Karnataka"
"258","MES","Kuttippuram","Kerala"
"259","DMI COLLEGE OF ENGINEERING","chennai","Tamil Nadu"
"260","Sri Sairam Engineering College","600044","Tamil Nadu"
"261","IIT Kanpur","Kanpur","Uttar Pradesh"
"262","Gokula krishna College of Engineering","sullurpet","Andhra Pradesh"
"263","UNIVERSITY COLLEGE OF ENGINEERING, BIT CAMPUS","TRICHY","Tamil Nadu"
"264","RGUIIIT","NUZVID","Andhra Pradesh"
"265","DIT UNIVERSITY","DEHRADUN","Uttarakhand"
"266","sahyadri college of engineering and management","mangalore","Karnataka"
"267","shri vaishnav institute of technology and science","indore","Madhya Pradesh"
"268","RGUKT","NUZVID","Andhra Pradesh"
"269","VASAVI COLLEGE OF ENGINEERING","Hyderabad","Andhra Pradesh"
"270","pavendar bharathidasan institute of information &technology","trichy","Tamil Nadu"
"271","Mahatma Gandhi Institute of Technology","Hyderabad","Andhra Pradesh"
"272","Malla Reddy College of Engineering and Technology","Hyderabad","Andhra Pradesh"
"273","annamacharya institute of technology&sciences ","kadapa","Andhra Pradesh"
"274","Mangalam college of engineering","kottayam","Kerala"
"275","college of engineering trivandrum","trivandrum","Kerala"
"276","RVCE","Bangalore","Karnataka"
"277","BMS College of Engineering","Bangalore","Karnataka"
"278","Agni College Of Technology","Chennai","Tamil Nadu"
"279","IISc","Bangalore","Karnataka"
"280","sir c r reddy college of engineering","eluru","Andhra Pradesh"
"281","saveetha Engineering college","chennai","Tamil Nadu"
"282","university of madras","chennai","Tamil Nadu"
"283","Jadavpur University","Kolkata","West Bengal"
"284","VIGNAN'S LARA INSTITUTE OF TECHNOLOGY AND SCIENCE","VADLAMUDI , GUNTUR.","Andhra Pradesh"
"285","chaitanya engineering college","visakhapatnam","Andhra Pradesh"
"286","Government Engineering College, Barton Hill","Thiruvananthapuram","Kerala"
"287","gojan school of business and technology","chennai","Tamil Nadu"
"288","KSR INSTITUTE FOR ENGINEERING AND TECHNOLOGY","NAMAKKAL","Tamil Nadu"
"289","Indian Institute of Information Technology and Management-Kerala","Trivandrum","Kerala"
"290","IIITM-Kerala","Thiruvananthapuram","Kerala"
"291","Sanjeevan Engineering & Technology Institute, Panhala","Kolhapur (Panhala)","Maharashtra"
"292","VIGNAN'S INSTITUTE OF ENGINEERING FOR WOMEN","VISHAKAPATNAM","Andhra Pradesh"
"293","padre conceicao college of engineering","verna","Goa"
"294","Smt Kashibai Navale Collage of Engineering, Sinhgad Institute | Pune","Pune","Maharashtra"
"295","GMIT","davanagere","Karnataka"
"296","Smt Kashibai Navale College of Engineering, Sinhgad Institute | Pune |","Pune","Maharashtra"
"297","RMD ENGINEERING COLLEGE","GUMMUDIPOONDI","Tamil Nadu"
"298","IIT Mandi","Mandi","Himachal Pradesh"
"299","KSR College of Engineering","Namakkal","Tamil Nadu"
"300","VSM Aerospace","Bangalore","Karnataka"
"301","MNNIT Allahabad","Allahabad","Uttar Pradesh"
"302","Nitte Mahalinga Adyanthaya Memorial Institute of Technology","Karkala","Karnataka"
"303","vels university","pallavaram","Tamil Nadu"
"304","Madras Institute of Technology","chennai","Tamil Nadu"
"305","jaya suriya engineering college","redhills,chennai","Tamil Nadu"
"306","st.xavier's catholic college of engineering","nagercoil","Tamil Nadu"
"307","velagapudi ramakrishna engineering college","vijayawada","Andhra Pradesh"
"308","VELAGAPUDI RAMAKRISHNA SIDDHARTHA ENGINEERING COLLEGE","VIJAYAWADA","Andhra Pradesh"
"309","Vel Tech Dr.RR and Dr.SR Technical University","CHENNAI","Tamil Nadu"
"310","Smt Kashibai Navale College of Engineering","Pune","Maharashtra"
"311","SKNCOE","Pune","Maharashtra"
"312","SKN College Of Engineering","Pune","Maharashtra"
"313","MANOHARBHAI PATEL INSTITUTE OF ENGINEERING & TECHNOLOGY","GONDIA","Maharashtra"
"314","RGCER","Nagpur","Maharashtra"
"315","Rajiv Gandhi College of Enginnering and Reseach","Nagpur","Maharashtra"
"316","Saranathan College Of Engineering","Trichy","Tamil Nadu"
"317","anand engineering college","agra","Uttar Pradesh"
"318","Shri ram institute of science and technology","jabalpur","Madhya Pradesh"
"319","Gh.Raisoni College of Engineering","Nagpur","Maharashtra"
"320","vnit ","Nagpur","Maharashtra"
"321","Jhulelal Institute of Technology","Nagpur","Maharashtra"
"322","SNS COLLEGE OF TECHNOLOGY","COIMBATORE","Tamil Nadu"
"323","NITK","surathkal","Karnataka"
"324","SHRI RAMDEOBABA COLLEGE OF ENGINEERING AND MANAGEMENT","NAGPUR","Maharashtra"
"325","karpagam university","coimbatore","Tamil Nadu"
"326","anand institute of higher technology","chennai","Tamil Nadu"
"327","Oxford Engineering College","Trichy","Tamil Nadu"
"328","st vincent pallotti college of engineering","nagpur","Maharashtra"
"329","sri ramanathan engineering college","vijyamangalam","Tamil Nadu"
"330","SVSS's Dr. Babasaheb Ambedkar College of Engineering & Research","NAGPUR","Maharashtra"
"331","J J COLLEGE OF ENG. AND TECH.","Trichy","Tamil Nadu"
"332","svss college of engg. & tech.","nagpur","Maharashtra"
"333","Hindustan Aviation Academy","Bangalore","Karnataka"
"334","RAGHU ENGINEERING COLLEGE","VISAKHAPATNAM","Andhra Pradesh"
"335","Government College of Technology","Coimbatore","Tamil Nadu"
"336","ST JOSEPH COLLEGE OF ENGINEERING PALA ","PALA","Kerala"
"337","Govt Eng college Sreekrishnapuram","Palakkad","Kerala"
"338","Jain College of Engineering","Belgaum","Karnataka"
"339","iiitdm-kancheepuram","chennai","Tamil Nadu"
"340","Tamil Nadu Open University","Chennai","Tamil Nadu"
"341","VIMAL JYOTHI ENGG COLLEGE, CHEMPERI","KANNUR","Kerala"
"342","pandav college of engineering","nagpur","Maharashtra"
